,Token,N_Ocorrencia,Length
561,countess,4,8
562,performd,4,8
563,firm,1,4
564,civil,2,5
565,todi,1,4
566,hat,1,3
567,audit,1,5
568,euphin,1,6
569,filthi,1,6
570,ariel,1,5
571,coupl,1,5
572,jealous,2,7
573,best,6,4
574,inde,8,4
575,truft,1,5
576,talbot,9,6
577,estiff,1,6
578,dot,2,3
579,unless,4,6
580,wrought,3,7
581,tetl,1,4
582,lament,4,6
583,steel,3,5
584,marcius,2,7
585,determin,2,8
586,cuttanc,1,7
587,obsurd,1,6
588,afford,1,6
589,outsag,1,6
590,oberon,1,6
591,pice,1,4
592,untel,1,5
593,shine,2,5
594,despis,3,6
595,bring,11,5
596,beam,1,4
597,lear,7,4
598,doubl,2,5
599,forfirm,1,7
600,plot,2,4
601,smwell,1,6
602,tilt,1,4
603,york,17,4
604,suppli,1,6
605,lichard,1,7
606,milan,1,5
607,fement,1,6
608,iwar,1,4
609,acid,1,4
610,satisfi,2,7
611,nhambl,1,6
612,envious,1,7
613,what,3,4
614,bitter,3,6
615,hung,2,4
616,tailor,1,6
617,doe,1,3
618,benedick,2,8
619,knife,1,5
620,ampl,1,4
621,parent,1,6
622,ha,6,2
623,giddi,2,5
624,brawl,1,5
625,copperd,1,7
626,vexd,1,4
627,joint,1,5
628,dissembl,1,8
629,bone,1,4
630,wild,1,4
631,losta,1,5
632,mother,10,6
633,straight,7,8
634,long,7,4
635,step,1,4
636,eloqu,1,5
637,polici,1,6
638,weeder,1,6
639,sail,1,4
640,vantag,1,6
641,contain,1,7
642,patient,3,7
643,assur,2,5
644,monarch,1,7
645,guistur,1,7
646,displac,1,7
647,list,1,4
648,rest,5,4
649,accord,1,6
650,isemoni,1,7
651,rememberd,1,9
652,estim,1,5
653,born,9,4
654,space,2,5
655,morn,1,4
656,hors,6,4
657,lord,90,4
658,argument,1,8
659,star,5,4
660,choos,1,5
661,theseus,1,7
662,soothsay,1,8
663,reason,8,6
664,proclam,1,7
665,dota,1,4
666,life,23,4
667,prophet,1,7
668,name,18,4
669,eless,1,5
670,orlando,1,7
671,perishd,1,7
672,stoppd,1,6
673,pant,1,4
674,innoc,3,5
675,thunder,1,7
676,sorrow,4,6
677,nod,1,3
678,citi,8,4
679,tell,28,4
680,action,6,6
681,melt,3,4
682,fetch,1,5
683,say,48,3
684,emilia,6,6
685,noth,6,4
686,ennear,1,6
687,stabbd,1,6
688,mark,14,4
689,bastard,3,7
690,torcher,1,7
691,even,19,4
692,prove,11,5
693,angri,3,5
694,troubl,1,6
695,game,1,4
696,loll,1,4
697,suitor,1,6
698,packet,1,6
699,pirat,2,5
700,milford,1,7
701,woo,1,3
702,toad,1,4
703,confus,1,6
704,approach,1,8
705,conflunct,1,9
706,capon,1,5
707,pandarus,3,8
708,intapercaval,1,12
709,garment,1,7
710,bowl,1,4
711,black,3,5
712,shake,4,5
713,fare,2,4
714,voic,3,4
715,head,21,4
716,seenst,1,6
717,likey,1,5
718,portial,1,7
719,unwel,1,5
720,prize,1,5
721,shouldst,4,8
722,conveni,1,7
723,fire,7,4
724,walrer,1,6
725,dearerstal,1,10
726,banishd,2,7
727,yet,31,3
728,said,10,4
729,escalus,2,7
730,loyalti,1,7
731,rather,10,6
732,drive,2,5
733,air,7,3
734,deliv,6,5
735,buy,2,3
736,light,6,5
737,cirrolus,1,8
738,favour,2,6
739,absolut,1,7
740,destruct,1,8
741,proteus,1,7
742,earth,9,5
743,host,3,4
744,wellmet,1,7
745,part,18,4
746,meek,1,4
747,either,3,6
748,knoplesoldi,1,11
749,wisdom,2,6
750,perdut,1,6
751,might,15,5
752,vengeanc,2,8
753,sort,1,4
754,bodi,8,4
755,tast,4,4
756,folli,2,5
757,slire,1,5
758,fruit,1,5
759,pay,4,3
760,hasti,1,5
761,glumber,1,7
762,bohemia,1,7
763,tale,3,4
764,drunken,1,7
765,slaver,1,6
766,widow,3,5
767,bridal,1,6
768,impeopl,1,7
769,katharina,1,9
770,princ,15,5
771,adversaryday,1,12
772,futur,1,5
773,pun,1,3
774,aunt,2,4
775,cloak,1,5
776,glim,1,4
777,recreant,1,8
778,heat,2,4
779,want,2,4
780,familiar,2,8
781,hospish,1,7
782,speak,32,5
783,medri,1,5
784,ravenshead,1,10
785,taze,1,4
786,fever,2,5
787,sever,7,5
788,ild,1,3
789,cabrous,1,7
790,infurnish,1,9
791,guiltless,1,9
792,madder,1,6
793,cap,1,3
794,good,79,4
795,though,15,6
796,whereof,1,7
797,foot,6,4
798,scing,1,5
799,dpunishd,1,8
800,letter,7,6
801,sworn,2,5
802,studi,2,5
803,ender,1,5
804,custom,2,6
805,ducat,1,5
806,sometim,4,7
807,honesti,2,7
808,shown,1,5
809,potent,2,6
810,dionyza,1,7
811,thousand,5,8
812,hatch,1,5
813,motiv,1,5
814,death,25,5
815,strict,1,6
816,profan,2,6
817,heav,1,4
818,music,3,5
819,blow,2,4
820,highest,1,7
821,dread,1,5
822,loyal,3,5
823,basket,2,6
824,outward,2,7
825,confid,2,6
826,voicehi,1,7
827,seeth,1,5
828,sport,6,5
829,ground,15,6
830,tuke,1,4
831,tarrus,1,6
832,arous,1,5
833,commend,3,7
834,seat,4,4
835,sweetlik,1,8
836,yare,1,4
837,tram,1,4
838,piec,4,4
839,gentl,8,5
840,hunter,1,6
841,curs,2,4
842,lie,14,3
843,mortal,1,6
844,wash,2,4
845,countenanc,1,10
846,fairnak,1,7
847,brimfib,1,7
848,wilt,6,4
849,sockcriff,1,9
850,courtfrail,1,10
851,doubt,4,5
852,lieuten,1,7
853,blush,2,5
854,enamounc,1,8
855,view,2,4
856,diomed,1,6
857,trumpet,5,7
858,git,1,3
859,assist,1,6
860,forlorn,1,7
861,hairkil,1,7
862,propar,1,6
863,fix,3,3
864,audient,1,7
865,greater,3,7
866,april,1,5
867,oft,2,3
868,iago,7,4
869,disabl,1,6
870,menenius,3,8
871,year,4,4
872,reverend,1,8
873,ferdinand,1,9
874,trust,4,5
875,alban,1,5
876,surveyor,1,8
877,obeyd,1,5
878,seek,2,4
879,heel,3,4
880,bed,9,3
881,saturnin,2,8
882,eas,1,3
883,royal,6,5
884,firmlyrot,1,9
885,scantat,1,7
886,cardin,2,6
887,chair,2,5
888,glori,2,5
889,beguil,3,6
890,flitteri,1,8
891,wert,2,4
892,weav,2,4
893,provost,4,7
894,load,1,4
895,abhorson,1,8
896,panish,1,6
897,gilt,1,4
898,senseless,1,9
899,alarum,1,6
900,profess,3,7
901,oword,1,5
902,titl,6,4
903,add,3,3
904,endur,1,5
905,stolen,1,6
906,chase,1,5
907,door,2,4
908,propos,2,6
909,detect,1,6
910,questiond,1,9
911,tree,2,4
912,murder,15,6
913,give,33,4
914,garland,1,7
915,bawdi,1,5
916,whip,1,4
917,vessel,1,6
918,incur,1,5
919,needst,2,6
920,duppd,1,5
921,hammer,1,6
922,untot,1,5
923,scourg,1,6
924,pompey,3,6
925,peer,7,4
926,pray,17,4
927,traverl,1,7
928,find,12,4
929,mood,2,4
930,expens,1,6
931,bare,2,4
932,treacheri,1,9
933,sicinius,4,8
934,porter,1,6
935,poisond,1,7
936,within,5,6
937,viii,2,4
938,exclaim,1,7
939,desir,13,5
940,merili,1,6
941,wit,4,3
942,stuffd,1,6
943,epithe,1,6
944,corag,1,5
945,daili,1,5
946,next,2,4
947,but,1,3
948,dear,8,4
949,port,2,4
950,world,17,5
951,extempor,1,8
952,fail,2,4
953,precis,1,6
954,fill,1,4
955,daugla,1,6
956,joy,7,3
957,articl,1,6
958,stay,10,4
959,farther,1,7
960,everthrow,1,9
961,occas,2,5
962,idl,1,3
963,choke,3,5
964,brain,3,5
965,sold,1,4
966,befal,1,5
967,ran,1,3
968,enforc,1,6
969,compexar,1,8
970,guess,1,5
971,wanton,3,6
972,charact,2,7
973,chreek,1,6
974,wape,1,4
975,lack,1,4
976,live,10,4
977,certainri,1,9
978,spring,2,6
979,modest,1,6
980,maletr,1,6
981,caesar,15,6
982,prevaild,1,8
983,baptista,1,8
984,rome,7,4
985,clother,1,7
986,tarsus,1,6
987,fenc,2,4
988,solemn,4,6
989,stafford,2,8
990,fast,3,4
991,voac,1,4
992,instruct,2,8
993,stroke,4,6
994,wholesom,1,8
995,shower,2,6
996,bedford,1,7
997,brother,15,7
998,guiderius,1,9
999,marcellus,1,9
1000,slept,2,5
1001,lop,1,3
1002,followd,3,7
1003,brabbl,1,6
1004,thorn,2,5
1005,soldier,8,7
1006,flame,1,5
1007,philous,1,7
1008,tarri,2,5
1009,could,22,5
1010,jew,1,3
1011,torn,1,4
1012,spoke,2,5
1013,rosalin,2,7
1014,men,25,3
1015,ambidius,1,8
1016,ill,49,3
1017,scant,1,5
1018,fault,8,5
1019,thrown,1,6
1020,crownd,1,6
1021,observ,3,6
1022,steal,4,5
1023,malici,1,6
1024,bondl,1,5
1025,mamber,1,6
1026,torch,1,5
1027,fals,4,4
1028,get,3,3
1029,half,6,4
1030,mardi,1,5
1031,forehead,2,8
1032,unquiet,1,7
1033,gaunt,2,5
1034,gentleman,20,9
1035,monster,1,7
1036,valentin,6,8
1037,maiden,3,6
1038,correct,3,7
1039,fent,1,4
1040,easest,1,6
1041,edward,2,6
1042,melancholi,1,10
1043,grace,23,5
1044,sir,67,3
1045,pipe,1,4
1046,portent,1,7
1047,repent,2,6
1048,amor,1,4
1049,style,1,5
1050,provid,4,6
1051,educ,1,4
1052,legion,1,6
1053,consumpt,1,8
1054,luggag,1,6
