,Token,N_Ocorrencia,Length
1126,laugh,1,5
1127,angel,1,5
1128,comprev,1,7
1129,dead,11,4
1130,renish,1,6
1131,seald,1,5
1132,diunder,1,7
1133,one,34,3
1134,le,3,2
1135,everyth,1,7
1136,thread,1,6
1137,canst,2,5
1138,lend,1,4
1139,bianca,1,6
1140,appear,8,6
1141,adam,1,4
1142,hither,3,6
1143,terribl,1,7
1144,dimmd,1,5
1145,embol,1,5
1146,day,37,3
1147,cressid,2,7
1148,common,4,6
1149,banish,4,6
1150,lightpouch,1,10
1151,sole,1,4
1152,march,1,5
1153,flight,1,6
1154,orsino,1,6
1155,lullabi,1,7
1156,ship,3,4
1157,stinf,1,5
1158,ned,1,3
1159,prepar,4,6
1160,betray,1,6
1161,nose,1,4
1162,inserv,1,6
1163,address,2,7
1164,conquer,3,7
1165,romeo,5,5
1166,unground,1,8
1167,srancest,1,8
1168,horribl,2,7
1169,heard,9,5
1170,salanio,1,7
1171,ask,3,3
1172,mistress,8,8
1173,whole,2,5
1174,qualifi,1,7
1175,unroar,1,6
1176,countryman,1,10
1177,haild,1,5
1178,huge,1,4
1179,conduct,3,7
1180,falln,2,5
1181,misbeliev,1,9
1182,thinkst,1,7
1183,baser,1,5
1184,prithe,6,6
1185,flower,4,6
1186,gallant,6,7
1187,tranio,3,6
1188,popen,1,5
1189,importun,1,8
1190,marriag,5,7
1191,bear,20,4
1192,soft,3,4
1193,gageou,1,6
1194,knit,1,4
1195,terror,4,6
1196,stod,1,4
1197,worthier,1,8
1198,mrustanc,1,8
1199,hoe,1,3
1200,wrongd,1,6
1201,none,8,4
1202,agamemnon,1,9
1203,fermin,1,6
1204,dearli,2,6
1205,beyond,3,6
1206,womb,1,4
1207,savag,1,5
1208,cort,1,4
1209,prayer,4,6
1210,leonato,3,7
1211,green,2,5
1212,ford,3,4
1213,courtesi,2,8
1214,prevail,1,7
1215,person,4,6
1216,stray,1,5
1217,absenc,3,6
1218,forth,4,5
1219,page,11,4
1220,nois,1,4
1221,rutland,2,7
1222,three,10,5
1223,breathinggild,1,13
1224,aid,1,3
1225,charmian,4,8
1226,togeth,12,6
1227,alexand,2,7
1228,lobe,1,4
1229,henri,16,5
1230,welkin,1,6
1231,distinct,1,8
1232,triumphant,1,10
1233,apparel,1,7
1234,outliv,2,6
1235,nephew,3,6
1236,region,1,6
1237,weighd,1,6
1238,armi,9,4
1239,jollofid,1,8
1240,taller,1,6
1241,templ,3,5
1242,recreantli,1,10
1243,led,1,3
1244,ireland,1,7
1245,lap,1,3
1246,fallend,1,7
1247,choler,1,6
1248,held,1,4
1249,slave,2,5
1250,beggar,5,6
1251,fairli,1,6
1252,plagu,1,5
1253,carriag,1,7
1254,murderd,1,7
1255,wine,1,4
1256,plain,1,5
1257,bud,2,3
1258,rain,1,4
1259,guest,1,5
1260,beach,1,5
1261,english,5,7
1262,hundr,3,5
1263,cleopatra,11,9
1264,slain,1,5
1265,bassanio,3,8
1266,fad,1,3
1267,tew,1,3
1268,gladli,1,6
1269,mattl,1,5
1270,dy,1,2
1271,mistook,1,7
1272,estat,2,5
1273,edg,2,3
1274,andronicu,5,9
1275,gainst,4,6
1276,dustconfound,1,12
1277,cressida,7,8
1278,angelo,7,6
1279,vineyard,1,8
1280,hoist,1,5
1281,abl,1,3
1282,help,5,4
1283,conusteri,1,9
1284,score,1,5
1285,troilu,10,6
1286,month,1,5
1287,ope,1,3
1288,greatli,1,7
1289,antonio,5,7
1290,profit,2,6
1291,dedic,1,5
1292,ingeni,2,6
1293,terman,1,6
1294,someth,6,6
1295,costli,1,6
1296,citizen,6,7
1297,effect,4,6
1298,hollow,2,6
1299,encount,2,7
1300,esteem,1,6
1301,redress,1,7
1302,ambit,1,5
1303,drift,1,5
1304,damnd,2,5
1305,eightingli,1,10
1306,mornal,1,6
1307,undon,1,5
1308,ane,1,3
1309,amplement,1,9
1310,int,2,3
1311,eveng,1,5
1312,rage,2,4
1313,poetri,1,6
1314,law,3,3
1315,shippu,1,6
1316,thi,96,3
1317,bedright,1,8
1318,fe,1,2
1319,helena,2,6
1320,discret,1,7
1321,monour,1,6
1322,athallot,1,8
1323,breast,4,6
1324,without,18,7
1325,place,10,5
1326,natur,8,5
1327,glove,2,5
1328,physic,1,6
1329,necessari,1,9
1330,nut,1,3
1331,catch,2,5
1332,fland,1,5
1333,heed,3,4
1334,milthi,1,6
1335,ophelia,3,7
1336,bewitchd,1,8
1337,cours,2,5
1338,wateri,1,6
1339,ax,1,2
1340,hamlet,3,6
1341,antoniu,1,7
1342,hair,3,4
1343,ambiti,1,6
1344,obser,1,5
1345,gloss,1,5
1346,pixtur,1,6
1347,face,16,4
1348,toe,2,3
1349,glad,5,4
1350,differ,2,6
1351,privi,1,5
1352,fond,1,4
1353,breedingwomen,1,13
1354,belong,1,6
1355,th,1,2
1356,walk,5,4
1357,eight,1,5
1358,spleen,1,6
1359,past,5,4
1360,weak,3,4
1361,remuner,1,7
1362,coin,1,4
1363,contru,1,6
1364,swear,14,5
1365,consum,1,6
1366,larg,1,4
1367,bullset,1,7
