,Token,N_Ocorrencia,Length
584,drawn,1,5
585,prescript,1,9
586,work,3,4
587,departure,1,9
588,partner,1,7
589,belarius,1,8
590,stroked,1,7
591,robs,1,4
592,swearst,1,7
593,sooner,4,6
594,promise,4,7
595,language,5,8
596,prayd,1,5
597,cuttances,1,9
598,purchase,2,8
599,relieve,1,7
600,embure,1,6
601,fatenot,1,7
602,choice,2,6
603,dry,1,3
604,armd,1,4
605,revolted,1,8
606,cry,6,3
607,tot,3,3
608,trup,1,4
609,gage,1,4
610,diunders,1,8
611,restrain,2,8
612,linger,1,6
613,stretched,1,9
614,chamberlain,1,11
615,cotmusion,1,9
616,single,7,6
617,shameless,1,9
618,reserve,1,7
619,liar,1,4
620,ragged,1,6
621,entertainment,5,13
622,beggd,4,5
623,nobleman,1,8
624,sure,4,4
625,slip,1,4
626,servingman,6,10
627,opposite,1,8
628,faced,1,5
629,patience,4,8
630,prologue,1,8
631,snaverd,1,7
632,field,6,5
633,shoe,1,4
634,turnd,1,5
635,selld,1,5
636,assumes,1,7
637,pent,1,4
638,hemn,1,4
639,crimon,1,6
640,current,1,7
641,scotland,1,8
642,countess,4,8
643,performd,4,8
644,firm,1,4
645,civil,2,5
646,slakes,1,6
647,hat,1,3
648,audit,1,5
649,determination,1,13
650,nhambly,1,7
651,euphin,1,6
652,ariel,1,5
653,truft,1,5
654,best,6,4
655,jealous,1,7
656,talbot,9,6
657,estiff,1,6
658,arming,1,6
659,dot,2,3
660,unless,4,6
661,wrought,3,7
662,presumely,1,9
663,giving,1,6
664,lament,1,6
665,conistering,1,11
666,steel,3,5
667,marcius,2,7
668,wondred,1,7
669,marriage,5,8
670,grudge,1,6
671,oberon,1,6
672,pice,1,4
673,disease,1,7
674,shine,2,5
675,bring,9,5
676,beam,1,4
677,lear,7,4
678,forfirm,1,7
679,precedent,1,9
680,practises,1,9
681,country,3,7
682,plot,2,4
683,nobly,1,5
684,tilt,1,4
685,smwell,1,6
686,york,17,4
687,lichard,1,7
688,milan,1,5
689,noving,1,6
690,fement,1,6
691,gathered,1,8
692,envious,1,7
693,bitter,2,6
694,hung,1,4
695,tailor,1,6
696,doe,1,3
697,benedick,2,8
698,knife,1,5
699,parent,1,6
700,ha,6,2
701,brawl,1,5
702,piece,4,5
703,copperd,1,7
704,vexd,1,4
705,weave,2,5
706,bone,1,4
707,wild,1,4
708,cromwell,1,8
709,mother,10,6
710,morning,1,7
711,straight,7,8
712,long,6,4
713,step,1,4
714,losta,1,5
715,weeder,1,6
716,sail,1,4
717,confirmable,1,11
718,contain,1,7
719,patient,1,7
720,monarch,1,7
721,list,1,4
722,rest,5,4
723,esemble,1,7
724,coldbelly,1,9
725,wearing,1,7
726,rememberd,1,9
727,inclination,1,11
728,born,7,4
729,space,2,5
730,added,1,5
731,lord,90,4
732,argument,1,8
733,star,5,4
734,theseus,1,7
735,soothsay,1,8
736,reason,5,6
737,prophet,1,7
738,welcome,6,7
739,life,23,4
740,message,1,7
741,name,17,4
742,epithantic,1,10
743,orlando,1,7
744,perishd,1,7
745,stoppd,1,6
746,holy,3,4
747,intended,1,8
748,pant,1,4
749,blunting,1,8
750,thunder,1,7
751,sorrow,4,6
752,driving,1,7
753,blessed,3,7
754,nod,1,3
755,proparable,1,10
756,tell,28,4
757,action,6,6
758,huntred,1,7
759,friendly,2,8
760,fetch,1,5
761,melt,1,4
762,say,46,3
763,emilia,6,6
764,stabbd,1,6
765,treasure,1,8
766,mark,14,4
767,opposed,1,7
768,bastard,3,7
769,newhouses,1,9
770,even,19,4
771,future,1,6
772,prove,10,5
773,beached,1,7
774,nominable,1,9
775,wrongfully,1,10
776,suitor,1,6
777,packet,1,6
778,loll,1,4
779,lightly,1,7
780,determine,1,9
781,toad,1,4
782,approach,1,8
783,offence,4,7
784,capon,1,5
785,pandarus,3,8
786,undoing,1,7
787,awhile,5,6
788,owed,2,4
789,garment,1,7
790,bowl,1,4
791,black,3,5
792,shake,4,5
793,fare,2,4
794,head,21,4
795,seenst,1,6
796,likey,1,5
797,portial,1,7
798,sitmise,1,7
799,sightthe,1,8
800,shouldst,4,8
801,dearerstall,1,11
802,grapple,1,7
803,course,2,6
804,fire,7,4
805,desire,10,6
806,rogue,1,5
807,walrer,1,6
808,banishd,2,7
809,yet,31,3
810,said,10,4
811,escalus,2,7
812,rather,10,6
813,drive,1,5
814,air,7,3
815,armardos,1,8
816,gently,1,6
817,excuse,2,6
818,buy,2,3
819,light,5,5
820,cirrolus,1,8
821,favour,2,6
822,alike,1,5
823,proteus,1,7
824,earth,8,5
825,proved,1,6
826,host,3,4
827,wellmet,1,7
828,part,15,4
829,tarried,1,7
830,meek,1,4
831,either,3,6
832,wisdom,2,6
833,folly,2,5
834,might,15,5
835,sort,1,4
836,humphreys,2,9
837,slire,1,5
838,hungs,1,5
839,browly,1,6
840,pity,4,4
841,guide,1,5
842,pay,4,3
843,fly,4,3
844,sits,1,4
845,glumber,1,7
846,cupboser,1,8
847,bohemia,1,7
848,tale,3,4
849,drunken,1,7
850,marry,9,5
851,slaver,1,6
852,hundred,3,7
853,widow,3,5
854,bridal,1,6
855,katharina,1,9
856,adversaryday,1,12
857,enforced,1,8
858,wonderful,1,9
859,pun,1,3
860,aunt,2,4
861,cloak,1,5
862,heat,2,4
863,displaced,1,9
864,disobdering,1,11
865,want,2,4
866,familiar,2,8
867,hospish,1,7
868,speak,28,5
869,ravenshead,1,10
870,taze,1,4
871,fever,2,5
872,cabrous,1,7
873,ild,1,3
874,beseems,1,7
875,alexas,1,6
876,separator,1,9
877,infurnish,1,9
878,guiltless,1,9
879,madder,1,6
880,cap,1,3
881,good,69,4
882,though,15,6
883,convrities,1,10
884,whereof,1,7
885,foot,5,4
886,scing,1,5
887,dpunishd,1,8
888,letter,7,6
889,sworn,2,5
890,writing,1,7
891,dissenture,1,10
892,seems,3,5
893,whats,3,5
894,custom,2,6
895,advantage,3,9
896,ender,1,5
897,glimmed,1,7
898,daily,1,5
899,ducat,1,5
900,shown,1,5
901,removed,1,7
902,gabes,1,5
903,deputy,3,6
904,potent,2,6
905,conusteries,1,11
906,dionyza,1,7
907,volscians,1,9
908,thousand,5,8
909,hatch,1,5
910,buried,1,6
911,death,25,5
912,mattle,1,6
913,strict,1,6
914,heav,1,4
915,music,3,5
916,blow,2,4
917,highest,1,7
918,enamoused,1,9
919,loyal,3,5
920,basket,2,6
921,outward,2,7
922,worthy,2,6
923,sport,6,5
924,extreme,3,7
925,ground,15,6
926,stony,1,5
927,tarrus,1,6
928,evenged,1,7
929,commend,2,7
930,seat,4,4
931,wished,1,6
932,yare,1,4
933,cheering,1,8
934,hunter,1,6
935,lamented,2,8
936,lie,13,3
937,mortal,1,6
938,wash,1,4
939,bitterly,1,8
940,lysander,1,8
941,williams,1,8
942,bretagne,1,8
943,wilt,6,4
944,patched,1,7
945,sockcriff,1,9
946,tarriaging,1,10
947,doubt,2,5
948,blush,2,5
949,idleness,1,8
950,view,2,4
951,diomed,1,6
952,trumpet,5,7
953,git,1,3
954,assist,1,6
955,forlorn,1,7
956,recreantly,1,10
957,vouchsafe,2,9
958,audient,1,7
959,greater,3,7
960,graceful,1,8
961,april,1,5
962,oft,2,3
963,iago,7,4
964,happy,5,5
965,blabbing,1,8
966,menenius,3,8
967,wulls,1,5
968,suffoce,1,7
969,difference,1,10
970,year,4,4
971,fallings,1,8
972,flives,1,6
973,tooked,1,6
974,reverend,1,8
975,ferdinand,1,9
976,amity,1,5
977,trust,4,5
978,remembrance,2,11
979,surveyor,1,8
980,obeyd,1,5
981,rosaline,2,8
982,seek,2,4
983,heel,3,4
984,bed,9,3
985,exeter,1,6
986,trazards,1,8
987,greatness,5,9
988,discovery,1,9
989,dependent,1,9
990,royal,6,5
991,orleans,1,7
992,chair,2,5
993,lullaby,1,7
994,lancaster,1,9
995,estate,2,6
996,wert,2,4
997,provost,4,7
998,load,1,4
999,abhorson,1,8
1000,panish,1,6
1001,senseless,1,9
1002,needness,1,8
1003,gadshill,1,8
1004,alarum,1,6
1005,profess,1,7
1006,oword,1,5
1007,respected,1,9
1008,business,6,8
1009,add,3,3
1010,eloquent,1,8
1011,stolen,1,6
1012,profession,2,10
1013,chase,1,5
1014,door,2,4
1015,lightpouched,1,12
1016,questiond,1,9
1017,tree,2,4
1018,murder,5,6
1019,give,32,4
1020,garland,1,7
1021,whip,1,4
1022,descripted,1,10
1023,vessel,1,6
1024,valentine,6,9
1025,needst,2,6
1026,duppd,1,5
1027,hammer,1,6
1028,diseased,1,8
1029,untot,1,5
1030,confers,1,7
1031,pompey,3,6
1032,emity,1,5
1033,policy,1,6
1034,peer,7,4
1035,proclamated,1,11
1036,helling,1,7
1037,pray,16,4
1038,receive,2,7
1039,traverl,1,7
1040,accident,1,8
1041,find,12,4
1042,mood,2,4
1043,consequence,2,11
1044,bare,1,4
1045,waking,1,6
1046,sicinius,4,8
1047,porter,1,6
1048,shriety,1,7
1049,poisond,1,7
1050,within,5,6
1051,viii,2,4
1052,exclaim,1,7
1053,succeeding,2,10
1054,article,1,7
1055,wit,3,3
1056,stuffd,1,6
1057,next,2,4
1058,dear,6,4
1059,port,2,4
1060,hardly,1,6
1061,world,17,5
1062,fail,2,4
1063,solemnity,1,9
1064,fill,1,4
1065,loyalty,1,7
1066,contemptuous,1,12
1067,absolute,1,8
1068,joy,6,3
1069,stay,10,4
1070,vantage,1,7
1071,farther,1,7
1072,everthrow,1,9
1073,choke,1,5
1074,brain,3,5
1075,sold,1,4
1076,ran,1,3
1077,detection,1,9
1078,isemony,1,7
1079,guess,1,5
1080,wanton,3,6
1081,brets,1,5
1082,wape,1,4
1083,lack,1,4
1084,proposed,1,8
1085,live,8,4
1086,substance,3,9
1087,hunting,1,7
1088,spring,2,6
1089,modest,1,6
1090,nicholas,1,8
1091,caesar,15,6
1092,prevaild,1,8
1093,baptista,1,8
1094,rome,7,4
1095,clother,1,7
1096,commendable,1,11
1097,tarsus,1,6
1098,solemn,2,6
1099,rudesty,1,7
1100,stafford,2,8
1101,drowsing,1,8
1102,swears,3,6
1103,threatened,1,10
1104,unliving,1,8
1105,publicly,1,8
1106,fast,2,4
1107,instruct,1,8
1108,stroke,3,6
1109,shower,1,6
1110,bedford,1,7
1111,brother,14,7
1112,guiderius,1,9
1113,marcellus,1,9
1114,slept,2,5
1115,lop,1,3
1116,followd,3,7
1117,chance,2,6
1118,thorn,2,5
1119,soldier,8,7
1120,flame,1,5
1121,philous,1,7
1122,could,22,5
1123,jew,1,3
1124,spoke,2,5
1125,ambidius,1,8
1126,men,25,3
1127,ill,49,3
1128,votary,1,6
1129,scant,1,5
1130,fault,8,5
1131,thrown,1,6
1132,discretion,1,10
1133,crownd,1,6
1134,steal,4,5
1135,savantry,1,8
1136,mamber,1,6
1137,torch,1,5
1138,unsame,1,6
1139,get,3,3
1140,half,6,4
1141,forehead,2,8
1142,unquiet,1,7
1143,gaunt,2,5
1144,gentleman,20,9
1145,monster,1,7
1146,maiden,3,6
1147,correct,1,7
1148,easest,1,6
1149,edward,2,6
1150,grace,22,5
1151,contrary,1,8
1152,required,1,8
1153,sir,67,3
1154,pipe,1,4
1155,portent,1,7
1156,repent,2,6
1157,seeming,1,7
1158,style,1,5
1159,industry,1,8
1160,destruction,1,11
1161,legion,1,6
1162,affection,4,9
1163,diomedes,1,8
1164,nay,7,3
1165,oer,3,3
1166,discourser,1,10
1167,cambrake,1,8
1168,launce,1,6
1169,midst,1,5
1170,sea,8,3
1171,vinegent,1,8
1172,chiron,1,6
1173,vow,1,3
1174,bid,5,3
1175,concealed,1,9
1176,hugh,4,4
1177,oswald,2,6
1178,whereover,1,9
1179,anointed,1,8
1180,wear,9,4
1181,treachery,1,9
1182,trifled,1,7
1183,belch,2,5
1184,pillow,1,6
1185,draught,1,7
1186,tomb,1,4
1187,huntingman,1,10
1188,cronk,1,5
1189,subject,4,7
1190,palfage,1,7
1191,predections,1,11
1192,durst,1,5
1193,two,15,3
1194,restraint,1,9
1195,dispite,1,7
1196,imperial,1,8
1197,tongue,8,6
1198,trial,1,5
1199,peter,1,5
1200,near,2,4
1201,post,2,4
1202,dismal,1,6
1203,woman,11,5
1204,discourse,2,9
1205,conflunction,1,12
1206,abated,3,6
1207,shame,4,5
1208,foul,6,4
1209,roman,2,5
1210,respect,3,7
1211,revel,1,5
1212,justice,3,7
1213,contemplation,1,13
1214,bethemlo,1,8
1215,raffet,1,6
1216,brinding,1,8
1217,line,3,4
1218,penitent,1,8
1219,speech,3,6
1220,back,11,4
1221,tide,2,4
1222,falcon,1,6
1223,presented,1,9
1224,hearted,1,7
1225,sabbare,1,7
1226,third,8,5
1227,sad,3,3
1228,changed,1,7
1229,defendant,1,9
1230,inkind,1,6
1231,cousin,7,6
1232,laugh,1,5
1233,disclose,2,8
1234,angel,1,5
1235,dead,11,4
1236,renish,1,6
1237,ungrace,1,7
1238,seald,1,5
1239,one,34,3
1240,le,3,2
1241,hearing,1,7
1242,thread,1,6
1243,assemble,1,8
1244,canst,2,5
1245,patroclus,1,9
1246,lend,1,4
1247,bianca,1,6
1248,appear,5,6
1249,mutiny,1,6
1250,hither,3,6
1251,adam,1,4
1252,dimmd,1,5
1253,bondle,1,6
1254,day,37,3
1255,glory,2,5
1256,common,3,6
1257,banish,2,6
1258,cressid,1,7
1259,sole,1,4
1260,march,1,5
1261,flight,1,6
1262,chreeks,1,7
1263,orsino,1,6
1264,raise,1,5
1265,selfbehelding,1,13
1266,ship,3,4
1267,stinf,1,5
1268,ned,1,3
1269,bolingbroke,3,11
1270,betray,1,6
1271,pixture,1,7
1272,aeneas,2,6
1273,nose,1,4
1274,apparition,1,10
1275,address,2,7
1276,bounty,2,6
1277,conquer,1,7
1278,romeo,5,5
1279,unground,1,8
1280,flavius,1,7
1281,heard,9,5
1282,salanio,1,7
1283,ask,3,3
1284,tedious,2,7
1285,tuking,1,6
1286,fephers,1,7
1287,mistress,8,8
1288,whole,2,5
1289,hielding,1,8
1290,conscience,1,10
